first_author,year,journal,doi,waste_domain,region,n_entities,n_obs_approx,models,validation_design,temporal_data,persistence_baseline,leakage_risk,uncertainty_reported,evidence_basis,notes,survey_batch,has_doi
Frimpong Adu,2025,Cleaner Waste Systems,10.1016/j.clwas.2025.100218,MSW,Ghana (Cape Coast),1,unclear,ML + GIS (unspecified),unclear,UNCLEAR,no,unclear,no,abstract,Generation and composition; abstract-level coding only,B,True
Lu,2022,Frontiers of Environmental Science & Engineering,10.1007/s11783-022-1551-6,MSW,China (multi-city),130,1012,GBRT (WGMod); weight analysis,unclear,Y,no,no,no,abstract,WGMod GBRT; R2=0.939; exogenous climate and demographic drivers,C,True
Wu,2020,Waste Management,10.1016/j.wasman.2020.04.015,MSW,China (multi-city),unclear,unclear,ANN (all-city + 3 regional models),unclear,Y,no,unclear,no,abstract,Regional ANN models beat all-city model; cross-region prediction tested,C,True
Yang,2021,Frontiers in Energy Research,10.3389/fenrg.2021.763977,MSW,China (national provincial panel),31,unclear,MLR; SVR; RF; XGBoost; KNN; DNN,random_kfold,Y,no,unclear,no,abstract+methods,Non-chronological 10-fold CV on 2008-2019 panel; DNN best,C,True
Niu,2021,Journal of Cleaner Production,10.1016/j.jclepro.2020.125187,MSW,China (single city),1,unclear,LSTM; ARIMA; ANN,unclear,Y,no,no,no,abstract,Suzhou; LSTM versus ARIMA versus ANN; long-term temporal effects,C,True
Wang,2022,Environmental Science and Pollution Research,10.1007/s11356-022-20438-0,MSW,China (single city),1,40,IPSO-LSTM; improved grey model (scenarios),unclear,Y,no,no,no,abstract,Shanghai 1980-2019; PSO-tuned LSTM; grey model drives scenario inputs,C,True
Zhang,2019,Waste Management & Research,10.1177/0734242X19855434,MSW,China (single city),1,unclear,ridge regression; GM(1;N); hybrid,in_sample_fit_only,Y,no,unclear,no,abstract,Hangzhou; MAPE 2.59% fitting-period accuracy; socio-economic drivers,C,True
Chhay,2018,Journal of Material Cycles and Waste Management,10.1007/s10163-018-0743-4,MSW,China (national),1,unclear,GM(1;1); linear regression; ANN,in_sample_fit_only,Y,no,unclear,no,abstract,National multi-model comparison; factor analysis; ANN forecast to 2030,C,True
Li,2022,Chinese Journal of Management Science,10.16381/j.cnki.issn1003-207x.2020.0657,MSW,China (single province),1,unclear,optimized multivariate grey model (GM(1;N)-type),in_sample_fit_only,Y,no,unclear,no,abstract,Jiangsu waste clearance volume; combined error 0.996% versus rival grey models,C,True
Yang,2024,Journal of Environmental Engineering Technology,10.12153/j.issn.1674-991X.20230798,MSW,China (multi-city),11,unclear,GM(1;1); GM(1;N); grey relational analysis,in_sample_fit_only,Y,no,unclear,no,abstract,11 zero-waste pilot cities; forecasts 2023-2030; no test set described,C,True
Zhang,2024,Sustainability,10.3390/su16093579,MSW,China (single city),1,unclear,GRA-BiLSTM,unclear,Y,no,unclear,no,abstract,Beijing; MAPE 5.97%; three scenarios; metrics without split description,C,True
Pudcha,2023,Environment and Natural Resources Journal,10.32526/ennrj/21/202200104,MSW,Thailand (national),1,8,GM(1;1); GM(1;3),in_sample_fit_only,Y,no,no,no,abstract,National annual data 2011-2018; GM(1;1)-0.1 and GM(1;3) best,C,True
Zhang,2022,Journal of Environmental Engineering Technology,10.12153/j.issn.1674-991X.20210496,MSW,China (multi-city Bohai rim),10,150,ARIMA (per city),in_sample_fit_only,Y,no,no,no,abstract,Ten cities 15 annual points each; forecast 2020-2024 without holdout,C,True
Dai,2020,Journal of Material Cycles and Waste Management,10.1007/s10163-020-01022-5,MSW,China (single city),1,unclear,FIG; GA-SVR; ARIMA; Kriging,unclear,Y,no,no,yes,abstract,Huangshi; fuzzy information granulation gives interval outputs; Kriging maps,C,True
Ahmed,2022,Results in Engineering,10.1016/j.rineng.2022.100655,MSW,Iraq (single city district),1,unclear,LSTM; deep-learning time-series forecasting network,unclear,Y,no,unclear,no,abstract,Baghdad district; waste classes forecast by living standard,C,True
Nourani,2025,Waste Management,10.1016/j.wasman.2025.115012,MSW,USA/Australia/Sri Lanka (3 cities),3,unclear,FFNN; LSTM; MI-SHAP feature selection,unclear,Y,no,no,no,abstract,Lagged MSW (5/10/20 day) inputs; train/test DC reported per city,C,True
Huang,2020,Sustainability,10.3390/su12208555,CDW,China (Shanghai) and Hong Kong SAR,2,unclear,LSTM; ridge regression; SVR; BPNN,unclear,Y,no,no,no,abstract,Univariate construction waste series; small samples; LSTM beats comparators,C,True
Daramola,2024,ICRITO (IEEE conference),10.1109/ICRITO61523.2024.10522312,MSW,China (national),1,unclear,ARIMAX; RF; SVR; XGBoost; hybrids,unclear,Y,no,unclear,no,abstract,China national forecast to 2060; ARIMAX versus ML versus hybrids,C,True
Uren,2025,International Journal of Energy Studies,10.58559/ijes.1725711,MSW,Turkey (single province),1,18,BiLSTM (hyperparameter-optimized),unclear,Y,no,no,no,abstract,Sirnak 2007-2024; 12 exogenous variables; 80/20 split plus k-fold,C,True
Kumar,2025,Clean Technologies and Environmental Policy,10.1007/s10098-024-03091-8,MSW,unclear (World Bank national data),unclear,unclear,Lightweight GraphFormer (graph transformer + MLP + LSTM),unclear,Y,no,unclear,no,abstract,Waste-stream series; region unstated; accuracy 98.76% claimed,C,True
Wang,2016,ICCREM 2016 (ASCE proceedings),10.1061/9780784480274.049,CDW,China (Shenyang),1,unclear,"GM(1,1); grey Verhulst",in_sample_fit_only,Y,no,no,no,abstract,Posterior-variance test on fit only; 5-year forecast; proceedings 2017 online,D,True
Zhao,2023,Utilities Policy,10.1016/j.jup.2023.101612,MSW,Canada (Ontario 220 municipalities),220,2640 (220 x 12 yr),Hybrid SDAE; DT; ANN; SDE benchmarks,unclear,Y,no,unclear,no,abstract,MSW production and diversion; split design not in abstract,D,True
Vignesh,2018,SSRG-IJCE,10.14445/23488352/ijce-v5i2p105,MSW,India (Karur),1,36 monthly (2015-2017),ARIMA,none_reported,Y,no,unclear,no,abstract,Monthly waste collected; no split/CV mentioned in abstract,D,True
Guo,2022,Journal of Material Cycles and Waste Management,10.1007/s10163-022-01479-6,MSW,China (national),1,21 (2000-2020),"GMNLR; GMLR; LR; GM(1,1)",holdout_last_period,Y,no,yes,no,fulltext,Estimation 2000-2015 test 2016-2020; GRA screening on full series = leakage; test MAPE 4.13%,D,True
Smailbegovic,2025,Waste Management,10.1016/j.wasman.2025.115033,MSW,Europe (40 countries),40,872 country-years,ANN; SVR; KRR + SHAP,holdout_random,Y,no,yes,no,fulltext,80/20 split plus 10-fold CV; same-period recycling rate used as predictor,E,True
Adeleke,2025,Waste Management,10.1016/j.wasman.2025.115036,MSW,South Africa (provinces),9,unclear,PCA + k-means + ANFIS + SHAP,unclear,Y,no,no,no,abstract+methods,Training-set metrics only reported; no test protocol visible,E,True
Sunayana,2021,Waste Management,10.1016/j.wasman.2020.12.011,MSW,India (Nagpur),1,96 monthly,NAR neural network,unclear,Y,no,no,yes,abstract,Testing/validation phases reported; forecasts with plus-minus ranges,E,True
Cubillos,2020,Waste Management,10.1016/j.wasman.2020.06.046,MSW,Denmark (Herning),1,416 weeks x households,multi-site LSTM vs ARIMA,holdout_last_period,Y,no,no,no,abstract,Chronological 80/10/10 split; ARIMA benchmark only,E,True
Cubillos,2021,Waste Management,10.1016/j.wasman.2021.04.011,MSW,Denmark (98 municipalities),98,784 municipality-years,Bayesian multilevel regression,loocv,Y,no,no,yes,fulltext,LOO-IC model comparison; credible intervals reported,E,True
Paulauskaite,2022,Waste Management,10.1016/j.wasman.2022.01.004,MSW,Lithuania (60 municipalities),60,300 municipality-years,hybrid kNN vs kNN,holdout_last_period,Y,no,unclear,no,abstract+methods,Neighbor-municipality generation imputes features; next-year eval,E,True
Pasa,2025,Waste Management,10.1016/j.wasman.2024.12.044,MSW,Italy (NE municipality),1,20000 users multi-month,XGBoost; RF; regression,holdout_last_period,Y,no,no,no,abstract+methods,Temporal split; forecasts future user behavior,E,True
Du,2022,Waste Management,10.1016/j.wasman.2022.04.024,MSW,China (418 cities),418,418 cross-section,k-means + cluster-wise regression,unclear,N,no,no,no,abstract+methods,Cross-cluster prediction used as validation,E,True
Wang,2021,Waste Management,10.1016/j.wasman.2021.07.034,MSW,China (285 cities),285,4560 city-years,Tapio decoupling + spatial EKC,in_sample_fit_only,Y,no,no,no,abstract+methods,Prediction via fitted EKC extrapolation; no out-of-sample test,E,True
Liu,2021,Waste Management,10.1016/j.wasman.2021.08.007,MSW,China (Beijing),1,16 annual,GRA-LSTM,unclear,Y,no,no,no,abstract+methods,Six GRA-selected drivers; MSW scenarios to 2025,E,True
Cha,2022,Journal of Cleaner Production,10.1016/j.jclepro.2022.134096,CDW,South Korea (buildings),1,784 buildings,CATPCA-ANN; CATPCA-SVMR,loocv,N,no,no,no,abstract+methods,LOOCV on small mixed-type dataset; building attributes,E,True
Ayeleru,2021,Journal of Cleaner Production,10.1016/j.jclepro.2020.125671,MSW,South Africa (Johannesburg),1,unclear,ANN; SVM,unclear,Y,no,no,no,abstract,R2 99.9% without described split; projects to 2050,E,True
Hoque,2020,Journal of Cleaner Production,10.1016/j.jclepro.2020.120387,MSW,Bangladesh (Dhaka),1,180 monthly,ANN feed-forward,holdout_random,Y,no,no,no,abstract,70/15/15 train/val/test on monthly series,E,True
Smejkalova,2020,Journal of Cleaner Production,10.1016/j.jclepro.2020.121814,MSW,Czech Republic (206 micro-regions),206,1854 region-years,structural-break trend + fuzzy credibility,in_sample_fit_only,Y,no,no,no,fulltext,Borrowed-strength extrapolation to 2030; no holdout,E,True
Premoli Vila,2022,Journal of Cleaner Production,10.1016/j.jclepro.2022.131719,MSW,Italy (macro-areas),unclear,hundreds region-fraction-years,bottom-up household-expenditure model,in_sample_fit_only,Y,no,no,no,abstract+methods,Reconstruction vs ISPRA totals; 2040 scenarios,E,True
He,2022,Journal of Cleaner Production,10.1016/j.jclepro.2022.134501,MSW,global (219 countries + 410 cities),219,1720 records,multivariate linear regression; GAM,unclear,Y,no,no,no,abstract,Cross-source compiled database,E,True
Liang,2021,Journal of Cleaner Production,10.1016/j.jclepro.2021.128039,MSW,Iran (7 megacities),7,monthly n not stated,ANN-AOA/SCA/PSO/GA; IMM + Gamma test,unclear,Y,no,no,no,abstract+methods,Train/test partition used; scheme not visible,E,True
Xu,2026,Resources Conservation and Recycling,10.1016/j.resconrec.2025.108590,MSW,China (Hong Kong),1,30 annual,MLP-ANN; MLR; RT; SVR + LSTM/ARIMA drivers,holdout_last_period,Y,no,no,yes,abstract+methods,Withheld 2023 actuals for verification; forecast bands to 2035,E,True
Yang,2021,Resources Conservation and Recycling,10.1016/j.resconrec.2021.105809,CDW,China (Hong Kong projects),1,895063 disposal records,DT; kNN; ensembles; ANN,random_kfold,N,no,unclear,no,abstract+methods,10-fold CV; imputes missing project waste from behavioral aggregates,E,True
Chen,2025,Resources Conservation and Recycling,10.1016/j.resconrec.2025.108378,MSW,China (3 cities smart bins),3,39.1M IoT orders,Bi-LSTM + AutoML,unclear,Y,no,no,no,abstract,Smart-bin recyclables forecasting 2018-2020,E,True
Johnson,2017,Waste Management,10.1016/j.wasman.2017.01.037,MSW,USA (NYC districts),1,monthly 2005-2012,Gradient boosting regression trees,holdout_last_period,Y,no,no,no,abstract,Trained 2005-2011 validated 2012; temporal and spatial validation,F,True
Khajevand,2019,Waste Management,10.1016/j.wasman.2019.09.024,MSW,USA (Philadelphia),1,unclear,VAR; OLS time-series regression,unclear,Y,no,unclear,no,abstract,VAR and OLS time-series; disposal stream forecasts,F,True
Ghinea,2016,Journal of Environmental Management,10.1016/j.jenvman.2016.07.026,MSW,Romania (Iasi),1,unclear,Waste Prognostic Tool + multiple regression,in_sample_fit_only,Y,no,no,no,abstract,Scenarios plus regression; no out-of-sample test,F,True
Solano-Meza,2019,Heliyon,10.1016/j.heliyon.2019.e02810,MSW,Colombia (Bogota zones),1,unclear,Decision trees; SVM; recurrent NN,unclear,Y,no,unclear,no,abstract,SVM best of three; zone and population predictors,F,True
Fasano,2021,IJERPH,10.3390/ijerph18020752,MSW,"Italy (Apulia, 257 municipalities)",257,2827,Deep learning ANN (Keras),holdout_random,Y,no,yes,no,fulltext,Randomized 70/30 split on municipality-year panel,F,True
Canzaniello,2024,Expert Systems,10.1111/exsy.13768,MSW,Italy,unclear,unclear,Graph Neural Networks,unclear,UNCLEAR,no,unclear,no,abstract,GNN on municipality graph; details not in abstract,F,True
Pavlas,2019,Waste and Biomass Valorization,10.1007/s12649-019-00764-0,MSW,Czechia + subregions,unclear,unclear,Regression + reconciliation-balancing,unclear,Y,no,unclear,no,abstract,Forecasts MSW fractions across subregions,F,True
Bernardo,2016,Waste Management,10.1016/j.wasman.2015.12.027,CDW,Portugal (Lisbon area),18,50 demolition interventions,Correlation + regression indicator models,in_sample_fit_only,N,no,no,no,abstract,Demolition-intervention indicators; adjusted-fit only,F,True
Dunkel,2022,Sustainability,10.3390/su14031233,MSW,OECD (43 countries),43,1204,RF; SVR; gradient boosting + k-means,random_kfold,Y,no,yes,no,fulltext,Random 4-fold CV on country-year panel; perfect R2 signals leakage,F,True
Abbasi,2018,Environmental Progress & Sustainable Energy,10.1002/ep.13033,MSW,Iran (Tehran),1,276 monthly,RBF-NN vs ANFIS vs ANN,random_kfold,Y,no,unclear,no,abstract,Cross-validation on monthly 1991-2013 series,F,True
Ghanbari,2023,Journal of Material Cycles and Waste Management,10.1007/s10163-023-01589-9,MSW,Iran (Tehran),1,264 monthly,EEMD-MARS; EEMD-LSSVM; LSSVM; MARS,unclear,Y,no,unclear,yes,abstract,EEMD-MARS best; Monte Carlo uncertainty analysis,F,True
KhairEldin,2025,Scientific Reports,10.1038/s41598-025-86474-1,CDW,Egypt (25 buildings),25,25,Multiple linear regression (SPSS),in_sample_fit_only,N,no,no,no,fulltext,MLR on 25 projects; adjusted R2 only; no holdout,F,True
Teixeira,2019,Waste Management & Research,10.1177/0734242X19893012,CDW,Brazil (Porto Alegre sites),18,18,Multiple linear regression,in_sample_fit_only,N,no,no,no,abstract,Regression on 18 sites; R2 0.81; no out-of-sample validation,F,True
Hoy,2022,Computers & Chemical Engineering,10.1016/j.compchemeng.2022.107946,MSW,Malaysia (country),1,unclear,Bayesian-optimised ANN + ensemble,unclear,Y,no,unclear,yes,abstract,Country-scale; ensemble uncertainty via relative std,F,True
Latif,2023,Environment Development and Sustainability,10.1007/s10668-023-03882-x,MSW,Malaysia,unclear,unclear,GPR; bagged trees; NN,unclear,UNCLEAR,no,unclear,no,abstract,R2=1.00 with all inputs suggests overfitting,F,True
Mudannayake,2022,IEEE Access,10.1109/access.2022.3221941,MSW,Sri Lanka/Australia/USA (5 cities),5,1376-2541 per series,LR; Auto-ARIMA; LightGBM; RF; Prophet; LSTM; TCN; Transformer; N-BEATS,holdout_last_period,Y,no,yes,no,fulltext,XGBoost imputation before split leaks; chronological 70/30,F,True
Rathod,2026,Journal of Solid Waste Technology and Management,10.5276/jswtm/iswmaw/522/2026.515,MSW,India (Surat),1,199,Six regression models incl. LR RF XGBoost,unclear,Y,no,unclear,no,abstract,Lags 1-12 plus COVID dummy; six regression models,F,True
Alam,2025,International Journal of Environmental Science and Technology,10.1007/s13762-025-06488-0,MSW,Bangladesh (Chittagong),1,unclear,ANN; SVM; GA-optimized ANN,unclear,Y,no,unclear,no,abstract,GA-optimized ANN best; 2030 forecast 2780 t/day,F,True
秦朗,2025,环境卫生工程,10.19841/j.cnki.hjwsgc.2025.06.006,MSW,China (single city),1,unclear,"GM(1,6) with policy dummies vs GM(1,1) GM(1,4)",in_sample_fit_only,Y,no,unclear,no,abstract,Guangzhou; scenario forecast to 2035; fit-accuracy comparison only,G,True
唐圣钧,2024,环境卫生工程,10.19841/j.cnki.hjwsgc.2024.01.013,MSW,China (single city),1,unclear,grey relational analysis + MLR; scenarios,unclear,Y,no,unclear,no,abstract,Shenzhen; planning-oriented to 2035; validation not described,G,True
牛欢欢,2023,环境卫生工程,10.19841/j.cnki.hjwsgc.2023.02.007,MSW,China (single city),1,10 (2011-2020),"GM(1,1); grey relational factor screening",in_sample_fit_only,Y,no,no,no,abstract,Shanghai; 2022-2023 forecast adjusted for sorting policy,G,True
房妮,2022,河南科学,no-doi,MSW,China (single city),1,11 (2009-2019),Lasso driver selection + ARIMA driver forecasts,in_sample_fit_only,Y,no,unclear,no,abstract,Baoji; two-stage indirect forecasting; no DOI traceable,G,False
杨柳叶,2023,应用数学进展,10.12677/aam.2023.128358,MSW,China (national + Beijing),2,32/23/13 windows,trend extrapolation; ARMA residual correction; ARIMA,in_sample_fit_only,Y,no,no,no,fulltext,Fit MAPE 0.45-0.93%; Hans OA light peer review; include with caution,G,True
傅妍芳,2022,安庆师范大学学报(自然科学版),no-doi,MSW,China (6 cities),6,10 per city (2011-2020),MLR per city; correlation prescreening,unclear,Y,no,unclear,no,abstract,Wannan six cities; CQVIP 7107982218; validation not described,G,False
马彩云,2019,哈尔滨商业大学学报(自然科学版),no-doi,CDW,China (province),1,unclear,"GM(1,1) on province CDW output",in_sample_fit_only,Y,no,no,no,abstract,Fujian; forecast 145 Mt by 2022; CQVIP 7003010303,G,False
向维,2020,环境卫生工程,no-doi,CDW,China (single city),1,10 (2009-2018),SPSS ARIMA-type on CJJ/T134-2019-reconstructed CDW,unclear,Y,no,no,no,abstract,Chongqing; input series estimated from construction indicators,G,False
赵钰,2021,环境卫生工程,no-doi,CDW,China (single city),1,15 (2005-2019 estimated),"GM(1,1) vs BPNN; decoration-waste sub-stream",in_sample_fit_only,Y,no,unclear,no,abstract,Wuhan; fit-based model comparison; forecasts 2020-2025,G,False
张敏,2021,环境工程技术学报,10.12153/j.issn.1674-991X.20210060,CDW,China (national),1,unclear,MFA dynamic stock-flow; 3 lifetime scenarios,unclear,Y,no,no,no,abstract,National CDW to 2100 with peak years; scenario not out-of-sample validation,G,True
